LeadCallId,LeadId,CallId,CallDateTime,DurationSeconds,CallStatusId,SentimentId,AssignedAgentId,CallDirection,IsAIGenerated,CreatedBy,CreatedOn
1,830,CALL000001,2025-09-02 21:38:45.819865,51,5,,40,Outbound,1,SYSTEM,2025-09-02 21:38:45.819865
2,762,CALL000002,2025-09-07 21:38:45.820221,45,3,,1,Inbound,0,SYSTEM,2025-09-07 21:38:45.820221
3,1096,CALL000003,2025-09-15 22:38:45.820445,29,3,,54,Outbound,0,SYSTEM,2025-09-15 22:38:45.820445
4,770,CALL000004,2025-08-27 23:38:45.820633,39,2,,8,Inbound,0,SYSTEM,2025-08-27 23:38:45.820633
5,544,CALL000005,2025-09-06 21:38:45.820886,16,3,,26,Inbound,1,SYSTEM,2025-09-06 21:38:45.820886
6,332,CALL000006,2025-09-21 22:38:45.821074,31,3,,40,Inbound,1,SYSTEM,2025-09-21 22:38:45.821074
7,1049,CALL000007,2025-09-02 19:38:45.821290,557,1,3.0,4,Outbound,0,SYSTEM,2025-09-02 19:38:45.821290
8,1214,CALL000008,2025-08-28 17:38:45.821504,49,5,,39,Outbound,1,SYSTEM,2025-08-28 17:38:45.821504
9,322,CALL000009,2025-09-20 17:38:45.821730,373,1,3.0,43,Outbound,0,SYSTEM,2025-09-20 17:38:45.821730
10,1073,CALL000010,2025-09-12 23:38:45.821954,34,3,,1,Outbound,0,SYSTEM,2025-09-12 23:38:45.821954
11,1212,CALL000011,2025-09-20 17:38:45.822157,21,2,,43,Outbound,0,SYSTEM,2025-09-20 17:38:45.822157
12,863,CALL000012,2025-09-21 18:38:45.822354,54,4,,42,Outbound,0,SYSTEM,2025-09-21 18:38:45.822354
13,712,CALL000013,2025-09-01 22:38:45.822540,32,2,,19,Outbound,1,SYSTEM,2025-09-01 22:38:45.822540
14,701,CALL000014,2025-09-09 17:38:45.822767,57,3,,42,Outbound,0,SYSTEM,2025-09-09 17:38:45.822767
15,622,CALL000015,2025-09-11 19:38:45.822967,36,4,,14,Outbound,0,SYSTEM,2025-09-11 19:38:45.822967
