ScheduleId,LeadId,TaskTypeId,ScheduleTitle,ScheduledDate,TaskStatusId,AssignedAgentId,IsFollowUp,Notes,CreatedBy,CreatedOn
1,1106,2,Task for Lead 1106,2025-10-10 21:38:48.865777,2,38,0,Priority: High,SYSTEM,2025-10-09 21:38:48.865777
2,1096,4,Task for Lead 1096,2025-09-21 00:38:48.866406,4,25,0,Priority: Low,SYSTEM,2025-09-20 00:38:48.866406
3,392,5,Task for Lead 392,2025-08-27 20:38:48.866980,3,50,0,Priority: High,SYSTEM,2025-08-26 20:38:48.866980
4,793,2,Task for Lead 793,2025-09-24 03:38:48.867399,1,51,0,Priority: Low,SYSTEM,2025-09-23 03:38:48.867399
5,185,2,Task for Lead 185,2025-09-05 01:38:48.867823,3,45,1,Priority: High,SYSTEM,2025-09-04 01:38:48.867823
6,298,2,Task for Lead 298,2025-09-24 01:38:48.868193,1,13,0,Priority: Medium,SYSTEM,2025-09-23 01:38:48.868193
7,946,4,Task for Lead 946,2025-10-19 03:38:48.868425,2,12,1,Priority: Low,SYSTEM,2025-10-18 03:38:48.868425
8,41,1,Task for Lead 41,2025-09-30 03:38:48.868621,1,25,1,Priority: Low,SYSTEM,2025-09-29 03:38:48.868621
9,814,4,Task for Lead 814,2025-08-28 21:38:48.868901,4,17,1,Priority: Low,SYSTEM,2025-08-27 21:38:48.868901
10,1194,1,Task for Lead 1194,2025-10-01 20:38:48.869093,1,46,0,Priority: Low,SYSTEM,2025-09-30 20:38:48.869093
11,827,4,Task for Lead 827,2025-10-12 22:38:48.869308,1,47,1,Priority: High,SYSTEM,2025-10-11 22:38:48.869308
12,389,1,Task for Lead 389,2025-08-28 01:38:48.869502,3,55,0,Priority: High,SYSTEM,2025-08-27 01:38:48.869502
13,717,3,Task for Lead 717,2025-10-21 00:38:48.869755,2,13,1,Priority: Medium,SYSTEM,2025-10-20 00:38:48.869755
14,279,1,Task for Lead 279,2025-10-10 21:38:48.869962,1,4,1,Priority: High,SYSTEM,2025-10-09 21:38:48.869962
15,531,1,Task for Lead 531,2025-09-06 19:38:48.870151,3,19,0,Priority: Medium,SYSTEM,2025-09-05 19:38:48.870151
16,655,5,Task for Lead 655,2025-09-12 19:38:48.870345,3,32,1,Priority: Low,SYSTEM,2025-09-11 19:38:48.870345
17,1045,5,Task for Lead 1045,2025-08-23 21:38:48.871003,4,4,0,Priority: High,SYSTEM,2025-08-22 21:38:48.871003
18,281,1,Task for Lead 281,2025-09-20 18:38:48.871886,4,43,0,Priority: Low,SYSTEM,2025-09-19 18:38:48.871886
19,764,1,Task for Lead 764,2025-09-19 01:38:48.872578,4,9,0,Priority: High,SYSTEM,2025-09-18 01:38:48.872578
20,201,2,Task for Lead 201,2025-09-17 23:38:48.872893,3,21,1,Priority: Medium,SYSTEM,2025-09-16 23:38:48.872893
21,800,1,Task for Lead 800,2025-10-19 19:38:48.873102,2,31,1,Priority: High,SYSTEM,2025-10-18 19:38:48.873102
22,1095,5,Task for Lead 1095,2025-10-20 21:38:48.873310,1,33,1,Priority: Low,SYSTEM,2025-10-19 21:38:48.873310
23,775,5,Task for Lead 775,2025-09-03 23:38:48.873502,4,41,0,Priority: Low,SYSTEM,2025-09-02 23:38:48.873502
24,88,2,Task for Lead 88,2025-09-27 00:38:48.873753,2,45,1,Priority: High,SYSTEM,2025-09-26 00:38:48.873753
25,484,2,Task for Lead 484,2025-09-29 02:38:48.873956,1,44,1,Priority: Medium,SYSTEM,2025-09-28 02:38:48.873956
26,16,3,Task for Lead 16,2025-10-05 01:38:48.874151,1,38,1,Priority: Medium,SYSTEM,2025-10-04 01:38:48.874151
27,479,2,Task for Lead 479,2025-10-03 19:38:48.874345,2,48,0,Priority: Low,SYSTEM,2025-10-02 19:38:48.874345
28,927,4,Task for Lead 927,2025-09-03 20:38:48.874545,3,54,0,Priority: Low,SYSTEM,2025-09-02 20:38:48.874545
29,1124,3,Task for Lead 1124,2025-10-08 03:38:48.874796,1,45,1,Priority: High,SYSTEM,2025-10-07 03:38:48.874796
30,1123,1,Task for Lead 1123,2025-09-27 21:38:48.874997,2,13,1,Priority: Medium,SYSTEM,2025-09-26 21:38:48.874997
